periods,kuipMetricBaseline,kuipMetricRolling
529.41,0.05655242089336429,0.06458274361581594
534.88,0.0782877948406358,0.07557052281434462
534.98,0.07869746888569423,0.07539858902552804
535.56,0.08232775033596462,0.07637844383020165
538.22,0.08450339042581073,0.07654402906033017
551.93,0.09309750955668215,0.08486058592082693
553.01,0.09564447849037072,0.08435286130954078
557.88,0.09330539941214422,0.09057744217629105
558.0,0.09388829293528589,0.09052282323790894
561.89,0.08914714543691173,0.09884541172482803
562.84,0.09261079524213933,0.09733160688467646
566.52,0.09127743310838259,0.09190782488305026
571.23,0.10364472349492412,0.09949078080261736
575.73,0.11694266693577732,0.12045152135637544
576.03,0.11624379858495865,0.12012591221352859
579.34,0.12040787549463666,0.12812803520390226
587.27,0.12324910540004225,0.14586676987316577
596.96,0.13944329606264078,0.151160949302233
598.14,0.1369423158969641,0.14996095013575722
600.01,0.13987524114482724,0.15419571452207081
610.67,0.16794048317888616,0.1743582985226805
612.22,0.1721021152758901,0.18049972931650454
617.96,0.18525632207014003,0.1994275477727701
630.16,0.19457704920850946,0.21141436012275922
632.15,0.1989036045257635,0.2109283664476217
634.07,0.199277557690149,0.21378492042967243
634.92,0.19927241896140463,0.21191105448463898
638.49,0.20393240659490108,0.21981705097772325
639.32,0.20649501245951724,0.22448693557714072
651.12,0.19814210270814903,0.21481484220387997
653.28,0.19745652802927946,0.21515537243254235
657.47,0.19234085843173668,0.2131342710671913
671.18,0.2195196141151328,0.2572476420393336
672.29,0.22316569881314186,0.2610800093856084
673.33,0.2262401519044956,0.2642564578626349
674.17,0.23010116662114763,0.26589383093737723
677.67,0.24545691625138177,0.2795945958262718
681.62,0.2615472275594748,0.2937696545616684
682.92,0.2669104840730283,0.299055528440971
686.76,0.28533397252651127,0.3177095701327607
686.99,0.28678966891509705,0.3189889543856247
694.07,0.32552877576115846,0.3571344383074903
697.33,0.3352660207379196,0.37108673441402806
697.8,0.33680155600077843,0.37263184520287784
698.14,0.3379159992531425,0.37374828809207544
698.89,0.34052728078258515,0.37639344944964986
702.56,0.35417472149377033,0.3888751543608824
705.14,0.36491928428624826,0.4009144461146613
708.53,0.3786426154799636,0.4158879551563341
717.34,0.41101547749660183,0.4494063274499578
720.61,0.42261341370269045,0.461082047206022
720.82,0.4235601171369619,0.46231823742316314
723.37,0.4350119402013228,0.4749091966047033
724.04,0.43799707036786384,0.47753758172491073
